X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,
-8797815.689,4291312.288,75612,CHPD,LOUD MUSIC/PARTY,1521 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/03/20 02:05:00+00,2010/03/20 02:04:00+00,2010/03/20 02:05:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.932317,-79.032123,1293,
-8801188.781,4289533.71,75333,CHPD,LOUD MUSIC/PARTY,751 TRINITY CT,CHAPEL HILL,NC,27516,2010/03/08 16:51:00+00,2010/03/08 16:51:00+00,2010/03/08 16:51:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.919379,-79.062424,1309,
-8801190.896,4288483.031,75630,CHPD,LOUD MUSIC/PARTY,400 W ROSEMARY ST,CHAPEL HILL,NC,27516,2010/03/20 04:42:00+00,2010/03/20 04:41:00+00,2010/03/20 04:42:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.911735,-79.062443,1405,
-8800338.3,4289104.162,76053,CHPD,LOUD MUSIC/PARTY,131 NORTH ST,CHAPEL HILL,NC,27514,2010/04/10 00:57:00+00,2010/04/10 00:56:00+00,2010/04/10 00:57:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.916254,-79.054784,1452,
-8800731.257,4289751.583,75806,CHPD,LOUD MUSIC/PARTY,730 NORTH COLUMBIA ST,CHAPEL HILL,NC,27516,2010/03/27 19:40:00+00,2010/03/27 19:40:00+00,2010/03/27 19:40:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.920964,-79.058314,1457,
-8801145.032,4289404.637,75807,CHPD,LOUD MUSIC/PARTY,713 CHURCH ST,CHAPEL HILL,NC,27516,2010/03/27 20:34:00+00,2010/03/27 20:33:00+00,2010/03/27 20:34:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.91844,-79.062031,1463,
-8800899.684,4289633.367,75281,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,707 N COLUMBIA ST,CHAPEL HILL,NC,27516,2010/03/07 00:17:00+00,2010/03/07 00:16:00+00,2010/03/07 00:17:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.920104,-79.059827,1479,
-8800713.001,4288862.523,75793,CHPD,LOUD MUSIC/PARTY,301 PRITCHARD AVE,CHAPEL HILL,NC,27516,2010/03/27 23:39:00+00,2010/03/27 22:00:00+00,2010/03/27 23:26:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.914496,-79.05815,1495,
-8796756.706,4291629.46,76030,CHPD,LOUD MUSIC/PARTY,1301 N FORDHAM BLVD,CHAPEL HILL,NC,27514,2010/04/09 02:47:00+00,2010/04/09 02:47:00+00,2010/04/09 02:47:00+00,<Null>,HOTEL/MOTEL,N,<Null>,<Null>,<Null>,<Null>,35.934624,-79.02261,1516,
-8801277.614,4286571.617,75796,CHPD,LOUD MUSIC/PARTY,624 COOLIDGE ST,CHAPEL HILL,NC,27516,2010/03/28 00:39:00+00,2010/03/28 00:38:00+00,2010/03/28 00:39:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,<Null>,<Null>,<Null>,<Null>,<Null>,35.897827,-79.063222,1533,
