X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800253.919,4288767.408,88170,CHPD,OPEN CONTAINER,150 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/12/14 18:39:00+00,2011/12/14 18:38:00+00,2011/12/14 18:39:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913804,-79.054026,13696
-8800483.572,4288607.007,88286,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100  N COLUMBIA ST,CHAPEL HILL,NC,27514,2011/12/21 16:52:00+00,2011/12/21 16:51:00+00,2011/12/21 16:52:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912637,-79.056089,13846
-8800449.063,4288678.754,88203,CHPD,OPEN CONTAINER,EAST FRANKLIN@COLUMBIA ST,CHAPEL HILL,NC,27514,2011/12/17 11:23:00+00,2011/12/17 11:23:00+00,2011/12/17 11:23:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913159,-79.055779,13991
-8800131.468,4288833.933,89443,CHPD,OPEN CONTAINER OF MALT BEVERAGE,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2012/02/17 18:28:00+00,2012/02/17 18:27:00+00,2012/02/17 18:28:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,14589
-8800157.517,4288821.563,89735,CHPD,OPEN CONTAINER OF MALT BEVERAGE,173 E FRANKLIN ST,CHAPEL HILL,NC,27514,2012/03/08 22:16:00+00,2012/03/08 19:52:00+00,2012/03/08 19:52:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914198,-79.05316,15805
-8800350.767,4288674.631,90578,CHPD,OPEN CONTAINER,120 EAST FRANKLIN ST,CHAPEL HILL,NC,27516,2012/04/16 03:16:00+00,2012/04/16 03:16:00+00,2012/04/16 03:16:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913129,-79.054896,15938
-8800649.772,4288577.044,91229,CHPD,OPEN CONTAINER,133 W FRANKLIN ST,CHAPEL HILL,NC,27516,2012/05/17 01:58:00+00,2012/05/17 01:57:00+00,2012/05/17 01:58:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912419,-79.057582,16300
-8800712.333,4288555.602,90678,CHPD,OPEN CONTAINER,200 W FRANKLIN ST,CHAPEL HILL,NC,27516,2012/04/20 02:26:00+00,2012/04/20 02:25:00+00,2012/04/20 02:26:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912263,-79.058144,16435
-8800282.195,4288784.589,92209,CHPD,OPEN CONTAINER OF MALT BEVERAGE,147 EAST FRANKLIN ST,CHAPEL HILL,NC,<Null>,2012/07/05 00:01:00+00,2012/07/04 22:43:00+00,2012/07/04 22:43:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913929,-79.05428,17037
-8800218.075,4288792.836,92640,CHPD,OPEN CONTAINER OF MALT BEVERAGE,159 E FRANKLIN ST,CHAPEL HILL,NC,27514,2012/07/27 12:37:00+00,2012/07/27 12:37:00+00,2012/07/27 12:37:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.913989,-79.053704,17688
-8799891.686,4289104.574,92207,CHPD,OPEN CONTAINER OF MALT BEVERAGE,325 EAST ROSEMARY ST,CHAPEL HILL,NC,27514,2012/07/04 21:09:00+00,2012/07/04 20:43:00+00,2012/07/04 20:44:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.916257,-79.050772,17997
-8800148.834,4288825.686,93292,CHPD,OPEN CONTAINER OF MALT BEVERAGE,175 E FRANKLIN ST,CHAPEL HILL,NC,27514,2012/08/30 22:23:00+00,2012/08/30 19:52:00+00,2012/08/30 20:03:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914228,-79.053082,18294
-8800704.095,4288854.413,93036,CHPD,OPEN CONTAINER,PRITCHARD AVE @ SHORT ST,CHAPEL HILL,NC,27514,2012/08/19 00:32:00+00,2012/08/19 00:31:00+00,2012/08/19 00:32:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.914437,-79.05807,18447
-8800929.963,4288452.381,93033,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2012/08/18 22:33:00+00,2012/08/18 22:32:00+00,2012/08/18 22:33:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,18582
-8800272.732,4288912.005,93080,CHPD,OPEN CONTAINER OF MALT BEVERAGE,150 E ROSEMARY ST,CHAPEL HILL,NC,27514,2012/08/20 17:16:00+00,2012/08/20 16:19:00+00,2012/08/20 16:20:00+00,<Null>,ENCLOSED PARKING/DECK,N,<Null>,<Null>,<Null>,<Null>,35.914856,-79.054195,18605
-8800772.223,4288678.754,93170,CHPD,OPEN CONTAINER,CHURCH ST @ W. ROSEMARY ST,CHAPEL HILL,NC,27514,2012/08/25 01:26:00+00,2012/08/25 00:39:00+00,2012/08/25 00:39:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913159,-79.058682,18837
-8800409.655,4288663.498,94267,CHPD,OPEN CONTAINER,100 E FRANKLIN ST,CHAPEL HILL,NC,27516,2012/10/18 02:11:00+00,2012/10/18 02:10:00+00,2012/10/18 02:11:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913048,-79.055425,19087
-8801366.335,4288404.138,94753,CHPD,OPEN CONTAINER CO 3-3,WEST ROSEMARY @ ROBERSON ST,CHAPEL HILL,NC,27516,2012/11/10 19:30:00+00,2012/11/10 19:30:00+00,2012/11/10 19:30:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.911161,-79.064019,19539
-8800449.063,4288678.754,96382,CHPD,OPEN CONTAINER,COLUMBIA ST@EAST FRANKLIN ST,CHAPEL HILL,NC,27514,2013/02/07 01:43:00+00,2013/02/07 01:43:00+00,2013/02/07 01:43:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.913159,-79.055779,21804
-8800708.103,4285801.402,97080,CHPD,OPEN CONTAINER IN VEHICLE,US 15-501,CHAPEL HILL,NC,27514,2013/03/12 22:15:00+00,2013/03/12 22:10:00+00,2013/03/12 22:14:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.892222,-79.058106,22931
-8800259.374,4289115.158,98291,CHPD,OPEN CONTAINER,215 HENDERSON ST,CHAPEL HILL,NC,27514,2013/05/07 10:10:00+00,2013/05/07 10:10:00+00,2013/05/07 10:10:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.916334,-79.054075,23065
